Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: dart.sync logger

Register: tagion.dart logger

1673363099 | WARN  | local-tagion: Sender not found
1673363099 | WARN  | local-tagion: Sender not found
1673363103 | WARN  | local-tagion: Sender not found
1673363105 | WARN  | local-tagion: Sender not found
1673363106 | WARN  | local-tagion: Sender not found
1673363108 | WARN  | local-tagion: Sender not found
1673363111 | WARN  | local-tagion: Sender not found
1673363112 | WARN  | local-tagion: Sender not found
1673363116 | WARN  | local-tagion: Sender not found
1673363118 | WARN  | local-tagion: Sender not found
1673363122 | WARN  | local-tagion: Sender not found
1673363123 | WARN  | local-tagion: Sender not found
1673363124 | WARN  | local-tagion: Sender not found
1673363126 | WARN  | local-tagion: Sender not found
1673363127 | WARN  | local-tagion: Sender not found
1673363129 | WARN  | local-tagion: Sender not found
1673363131 | WARN  | local-tagion: Sender not found
1673363134 | WARN  | local-tagion: Sender not found
1673363136 | WARN  | local-tagion: Sender not found
1673363137 | WARN  | local-tagion: Sender not found
1673363140 | WARN  | local-tagion: Sender not found
1673363142 | WARN  | local-tagion: Sender not found
1673363146 | WARN  | local-tagion: Sender not found
1673363147 | WARN  | local-tagion: Sender not found
1673363149 | WARN  | local-tagion: Sender not found
1673363151 | WARN  | local-tagion: Sender not found
1673363151 | WARN  | local-tagion: Sender not found
1673363154 | WARN  | local-tagion: Sender not found
1673363155 | WARN  | local-tagion: Sender not found
1673363155 | WARN  | local-tagion: Sender not found
1673363157 | WARN  | local-tagion: Sender not found
1673363158 | WARN  | local-tagion: Sender not found
1673363160 | WARN  | local-tagion: Sender not found
1673363161 | WARN  | local-tagion: Sender not found
1673363162 | WARN  | local-tagion: Sender not found
1673363165 | WARN  | local-tagion: Sender not found
1673363166 | WARN  | local-tagion: Sender not found
1673363167 | WARN  | local-tagion: Sender not found
1673363168 | WARN  | local-tagion: Sender not found
1673363170 | WARN  | local-tagion: Sender not found
1673363171 | WARN  | local-tagion: Sender not found
1673363173 | WARN  | local-tagion: Sender not found
1673363175 | WARN  | local-tagion: Sender not found
1673363177 | WARN  | local-tagion: Sender not found
1673363178 | WARN  | local-tagion: Sender not found
1673363180 | WARN  | local-tagion: Sender not found
1673363181 | WARN  | local-tagion: Sender not found
1673363183 | WARN  | local-tagion: Sender not found
1673363184 | WARN  | local-tagion: Sender not found
1673363185 | WARN  | local-tagion: Sender not found
1673363186 | WARN  | local-tagion: Sender not found
1673363187 | WARN  | local-tagion: Sender not found
1673363191 | WARN  | local-tagion: Sender not found
1673363194 | WARN  | local-tagion: Sender not found
1673363195 | WARN  | local-tagion: Sender not found
1673363195 | WARN  | local-tagion: Sender not found
1673363199 | WARN  | local-tagion: Sender not found
1673363199 | WARN  | local-tagion: Sender not found
1673363200 | WARN  | local-tagion: Sender not found
1673363201 | WARN  | local-tagion: Sender not found
1673363203 | WARN  | local-tagion: Sender not found
1673363207 | WARN  | local-tagion: Sender not found
1673363210 | WARN  | local-tagion: Sender not found
1673363212 | WARN  | local-tagion: Sender not found
1673363213 | WARN  | local-tagion: Sender not found
1673363220 | WARN  | local-tagion: Sender not found
1673363222 | WARN  | local-tagion: Sender not found
1673363223 | WARN  | local-tagion: Sender not found
1673363224 | WARN  | local-tagion: Sender not found
1673363225 | WARN  | local-tagion: Sender not found
1673363226 | WARN  | local-tagion: Sender not found
1673363227 | WARN  | local-tagion: Sender not found
1673363227 | WARN  | local-tagion: Sender not found
1673363229 | WARN  | local-tagion: Sender not found
1673363230 | WARN  | local-tagion: Sender not found
1673363231 | WARN  | local-tagion: Sender not found
1673363234 | WARN  | local-tagion: Sender not found
1673363242 | WARN  | local-tagion: Sender not found
1673363243 | WARN  | local-tagion: Sender not found
1673363243 | WARN  | local-tagion: Sender not found
